-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                                                   Name    Self CPU %      Self CPU   CPU total %     CPU total  CPU time avg     Self CUDA   Self CUDA %    CUDA total  CUDA time avg    # of Calls  
-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
_dynamic_mxfp4_quant_kernel_BLOCK_SIZE_M_32_BLOCK_SI...         0.00%       0.000us         0.00%       0.000us       0.000us       2.004ms         0.46%       2.004ms       3.296us           608  
                                  triton_poi_fused_4.kd         0.00%       0.000us         0.00%       0.000us       0.000us       1.903ms         0.44%       1.903ms       3.731us           510  
                     chunk_scaled_dot_kkt_fwd_kernel.kd         0.00%       0.000us         0.00%       0.000us       0.000us       1.792ms         0.41%       1.792ms       9.332us           192  
void at::native::elementwise_kernel_manual_unroll<12...         0.00%       0.000us         0.00%       0.000us       0.000us       1.677ms         0.39%       1.677ms       3.226us           520  
                 merge_16x16_to_64x64_inverse_kernel.kd         0.00%       0.000us         0.00%       0.000us       0.000us       1.638ms         0.38%       1.638ms       8.530us           192  
void wvSplitK_hf_sml_<__hip_bfloat16, 64, 4, 16, 8, ...         0.00%       0.000us         0.00%       0.000us       0.000us       1.472ms         0.34%       1.472ms     736.241us             2  
void wvSplitK_hf_sml_<__hip_bfloat16, 64, 2, 16, 8, ...         0.00%       0.000us         0.00%       0.000us       0.000us       1.447ms         0.33%       1.447ms     723.460us             2  
                    vllm::unified_attention_with_output         1.21%      10.761ms         1.57%      13.978ms     218.410us       1.410ms         0.33%       1.410ms      22.035us            64  
                            recompute_w_u_fwd_kernel.kd         0.00%       0.000us         0.00%       0.000us       0.000us       1.353ms         0.31%       1.353ms       7.045us           192  
                                     aten::masked_fill_         0.15%       1.299ms         0.35%       3.138ms      16.342us       1.206ms         0.28%       1.206ms       6.279us           192  
void at::native::elementwise_kernel_manual_unroll<12...         0.00%       0.000us         0.00%       0.000us       0.000us       1.206ms         0.28%       1.206ms       6.279us           192  
                                  chunk_fwd_kernel_o.kd         0.00%       0.000us         0.00%       0.000us       0.000us       1.205ms         0.28%       1.205ms       6.275us           192  
                           _causal_conv1d_fwd_kernel.kd         0.00%       0.000us         0.00%       0.000us       0.000us       1.119ms         0.26%       1.119ms       5.831us           192  
                                         _fwd_kernel.kd         0.00%       0.000us         0.00%       0.000us       0.000us       1.084ms         0.25%       1.084ms      16.943us            64  
void at::native::vectorized_gather_kernel<16, long>(...         0.00%       0.000us         0.00%       0.000us       0.000us       1.080ms         0.25%       1.080ms       8.310us           130  
                                            aten::fill_         0.31%       2.755ms         0.68%       6.084ms      10.006us     959.452us         0.22%     959.452us       1.578us           608  
void at::native::index_elementwise_kernel<128, 4, at...         0.00%       0.000us         0.00%       0.000us       0.000us     958.238us         0.22%     958.238us       7.371us           130  
                                              aten::cat         0.21%       1.858ms         0.39%       3.491ms      16.162us     803.052us         0.19%     803.052us       3.718us           216  
       fused_sigmoid_gating_delta_rule_update_kernel.kd         0.00%       0.000us         0.00%       0.000us       0.000us     698.062us         0.16%     698.062us       7.271us            96  
                                  hipModuleLaunchKernel         4.10%      36.418ms         4.10%      36.418ms       8.251us     679.747us         0.16%     679.747us       0.154us          4414  
                             _fused_post_conv_kernel.kd         0.00%       0.000us         0.00%       0.000us       0.000us     604.722us         0.14%     604.722us       3.150us           192  
                    chunk_local_cumsum_scalar_kernel.kd         0.00%       0.000us         0.00%       0.000us       0.000us     534.398us         0.12%     534.398us       2.783us           192  
                                           aten::gather         0.17%       1.539ms         0.29%       2.617ms      18.962us     492.084us         0.11%     492.084us       3.566us           138  
     triton_red_fused__to_copy_add_fused_add_rms_norm_3         0.15%       1.294ms         0.30%       2.643ms      20.652us     479.497us         0.11%     479.497us       3.746us           128  
                                   hipStreamIsCapturing         0.02%     171.769us         0.02%     171.769us       0.339us     458.341us         0.11%     458.341us       0.904us           507  
void at::native::(anonymous namespace)::CatArrayBatc...         0.00%       0.000us         0.00%       0.000us       0.000us     431.889us         0.10%     431.889us       4.499us            96  
                                           aten::arange         0.11%     954.451us         0.48%       4.248ms      13.615us     405.453us         0.09%     810.906us       2.599us           312  
void (anonymous namespace)::elementwise_kernel_with_...         0.00%       0.000us         0.00%       0.000us       0.000us     405.453us         0.09%     405.453us       2.981us           136  
                                      aten::bitwise_not         0.13%       1.168ms         0.27%       2.430ms      12.655us     397.702us         0.09%     397.702us       2.071us           192  
                                              aten::sub         0.13%       1.136ms         0.25%       2.238ms      11.536us     394.693us         0.09%     394.693us       2.035us           194  
void at::native::vectorized_elementwise_kernel<8, at...         0.00%       0.000us         0.00%       0.000us       0.000us     382.148us         0.09%     382.148us       1.990us           192  
void at::native::(anonymous namespace)::CatArrayBatc...         0.00%       0.000us         0.00%       0.000us       0.000us     371.163us         0.09%     371.163us       3.866us            96  
                                     triton_poi_fused_0         0.17%       1.503ms         0.34%       3.032ms      23.686us     367.883us         0.08%     367.883us       2.874us           128  
void at::native::_scatter_gather_elementwise_kernel<...         0.00%       0.000us         0.00%       0.000us       0.000us     364.669us         0.08%     364.669us       3.575us           102  
     triton_red_fused__to_copy_add_fused_add_rms_norm_5         0.11%       1.007ms         0.22%       1.911ms      19.911us     346.600us         0.08%     346.600us       3.610us            96  
                                     aten::floor_divide         0.07%     611.164us         0.18%       1.595ms      12.268us     343.428us         0.08%     343.428us       2.642us           130  
void at::native::vectorized_elementwise_kernel<4, at...         0.00%       0.000us         0.00%       0.000us       0.000us     343.428us         0.08%     343.428us       3.367us           102  
                                              aten::add         0.07%     651.241us         0.16%       1.415ms      11.992us     340.404us         0.08%     340.404us       2.885us           118  
                                           aten::clamp_         0.06%     558.832us         0.15%       1.303ms      12.777us     335.672us         0.08%     335.672us       3.291us           102  
void at::native::vectorized_elementwise_kernel<4, at...         0.00%       0.000us         0.00%       0.000us       0.000us     335.672us         0.08%     335.672us       3.291us           102  
void at::native::vectorized_elementwise_kernel<4, at...         0.00%       0.000us         0.00%       0.000us       0.000us     332.758us         0.08%     332.758us       3.262us           102  
void at::native::elementwise_kernel_manual_unroll<12...         0.00%       0.000us         0.00%       0.000us       0.000us     324.210us         0.07%     324.210us       3.377us            96  
void at::native::vectorized_elementwise_kernel<4, at...         0.00%       0.000us         0.00%       0.000us       0.000us     306.481us         0.07%     306.481us       3.193us            96  
                                hipEventRecordWithFlags         0.35%       3.103ms         0.35%       3.103ms      11.578us     304.460us         0.07%     304.460us       1.136us           268  
                                     triton_per_fused_1         0.10%     895.966us         0.20%       1.818ms      18.942us     300.238us         0.07%     300.238us       3.127us            96  
                      triton_poi_fused_mul_silu_slice_4         0.08%     735.528us         0.18%       1.587ms      16.529us     288.154us         0.07%     288.154us       3.002us            96  
void at::native::vectorized_elementwise_kernel<16, a...         0.00%       0.000us         0.00%       0.000us       0.000us     239.272us         0.06%     239.272us       2.492us            96  
                                           aten::argmax         0.05%     410.791us         0.08%     670.670us      16.767us     235.058us         0.05%     235.058us       5.876us            40  
void at::native::reduce_kernel<512, 1, at::native::R...         0.00%       0.000us         0.00%       0.000us       0.000us     235.058us         0.05%     235.058us       6.913us            34  
                          vllm::unified_kv_cache_update         0.56%       4.972ms         0.77%       6.843ms     106.914us     227.224us         0.05%     227.224us       3.550us            64  
triton_poi_fused__to_copy__unsafe_view_add_clone_gem...         0.07%     644.426us         0.17%       1.484ms      15.460us     225.835us         0.05%     225.835us       2.352us            96  
                               _gumbel_sample_kernel.kd         0.00%       0.000us         0.00%       0.000us       0.000us     196.930us         0.05%     196.930us       5.792us            34  
                      postprocess_mamba_fused_kernel.kd         0.00%       0.000us         0.00%       0.000us       0.000us     189.975us         0.04%     189.975us       5.587us            34  
                                     triton_poi_fused_6         0.09%     808.127us         0.20%       1.745ms      18.179us     189.273us         0.04%     189.273us       1.972us            96  
                    precopy_mamba_align_fused_kernel.kd         0.00%       0.000us         0.00%       0.000us       0.000us     182.182us         0.04%     182.182us       5.358us            34  
                                        _bias_kernel.kd         0.00%       0.000us         0.00%       0.000us       0.000us     177.866us         0.04%     177.866us       5.231us            34  
                                         hipGraphLaunch        10.91%      96.929ms        10.91%      96.929ms     605.807us     166.905us         0.04%     166.905us       1.043us           160  
void at::native::unrolled_elementwise_kernel<at::nat...         0.00%       0.000us         0.00%       0.000us       0.000us     158.430us         0.04%     158.430us       1.650us            96  
void at::native::vectorized_elementwise_kernel<4, at...         0.00%       0.000us         0.00%       0.000us       0.000us     155.933us         0.04%     155.933us       4.586us            34  
                                     aten::index_select         0.05%     448.426us         0.12%       1.110ms      32.639us     154.703us         0.04%     160.821us       4.730us            34  
void at::native::(anonymous namespace)::indexSelectS...         0.00%       0.000us         0.00%       0.000us       0.000us     154.703us         0.04%     154.703us       4.834us            32  
-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
Self CPU time total: 888.719ms
Self CUDA time total: 433.028ms

