timestamp,elapsed_s,power_w,hotspot_temp_c,mem_temp_c,edge_temp_c
1790200330.9776,0.0001,25.0,63.0,74.0,58.0
1790200331.2277,0.2502,18.0,59.0,68.0,55.0
1790200331.4778,0.5003,20.0,58.0,68.0,55.0
1790200331.7279,0.7503,333.0,79.0,72.0,55.0
1790200331.9779,1.0004,279.0,78.0,75.0,56.0
1790200332.228,1.2505,283.0,78.0,77.0,56.0
1790200332.4781,1.5006,284.0,78.0,78.0,56.0
1790200332.7282,1.7507,284.0,79.0,78.0,56.0
1790200332.9783,2.0008,288.0,79.0,78.0,56.0
1790200333.2284,2.2508,290.0,80.0,79.0,56.0
1790200333.4785,2.5009,297.0,81.0,79.0,57.0
1790200333.7285,2.751,300.0,81.0,80.0,57.0
1790200333.9786,3.0011,300.0,82.0,80.0,57.0
1790200334.2287,3.2512,299.0,82.0,80.0,57.0
1790200334.4788,3.5012,300.0,82.0,80.0,57.0
1790200334.7289,3.7513,299.0,82.0,80.0,57.0
1790200334.979,4.0014,300.0,82.0,80.0,57.0
1790200335.2291,4.2515,299.0,82.0,80.0,57.0
1790200335.4792,4.5016,300.0,83.0,80.0,57.0
1790200335.7292,4.7516,299.0,83.0,80.0,57.0
1790200335.9792,5.0017,300.0,83.0,80.0,58.0
1790200336.2293,5.2518,299.0,83.0,80.0,58.0
1790200336.4794,5.5019,300.0,83.0,80.0,58.0
1790200336.7295,5.7519,299.0,83.0,80.0,58.0
1790200336.9796,6.002,300.0,83.0,82.0,58.0
1790200337.2297,6.2521,299.0,83.0,82.0,58.0
1790200337.4798,6.5022,300.0,83.0,82.0,58.0
1790200337.7299,6.7523,299.0,83.0,82.0,58.0
1790200337.98,7.0024,300.0,84.0,82.0,58.0
1790200338.23,7.2525,299.0,84.0,82.0,58.0
1790200338.4801,7.5025,300.0,84.0,82.0,58.0
1790200338.7302,7.7526,299.0,84.0,82.0,58.0
1790200338.9802,8.0027,300.0,84.0,82.0,58.0
1790200339.2303,8.2528,299.0,84.0,82.0,59.0
1790200339.4804,8.5028,300.0,84.0,82.0,59.0
1790200339.7305,8.7529,299.0,84.0,82.0,59.0
1790200339.9806,9.003,300.0,84.0,82.0,59.0
1790200340.2306,9.2531,299.0,84.0,82.0,59.0
