timestamp,elapsed_s,power_w,hotspot_temp_c,mem_temp_c,edge_temp_c
1790199936.637,0.0001,281.0,66.0,44.0,39.0
1790199936.8871,0.2502,40.0,46.0,43.0,39.0
1790199937.1372,0.5003,24.0,43.0,42.0,38.0
1790199937.3873,0.7504,314.0,63.0,43.0,38.0
1790199937.6374,1.0005,297.0,69.0,45.0,40.0
1790199937.8875,1.2505,300.0,70.0,46.0,40.0
1790199938.1376,1.5006,301.0,70.0,46.0,40.0
1790199938.3877,1.7507,293.0,71.0,46.0,40.0
1790199938.6377,2.0008,306.0,72.0,46.0,41.0
1790199938.8878,2.2509,300.0,71.0,48.0,41.0
1790199939.1379,2.5009,299.0,72.0,48.0,41.0
1790199939.388,2.751,301.0,72.0,48.0,41.0
1790199939.6381,3.0011,296.0,72.0,48.0,41.0
1790199939.8881,3.2512,302.0,73.0,48.0,42.0
1790199940.1382,3.5012,299.0,73.0,48.0,42.0
1790199940.3882,3.7513,300.0,73.0,49.0,42.0
1790199940.6383,4.0014,301.0,73.0,50.0,42.0
1790199940.8884,4.2515,294.0,73.0,50.0,43.0
1790199941.1385,4.5016,303.0,74.0,50.0,43.0
1790199941.3886,4.7516,298.0,74.0,50.0,43.0
1790199941.6387,5.0017,299.0,74.0,50.0,43.0
