timestamp,elapsed_s,power_w,hotspot_temp_c,mem_temp_c,edge_temp_c
1790200666.8215,0.0001,15.0,44.0,50.0,41.0
1790200667.0716,0.2502,15.0,44.0,50.0,41.0
1790200667.3217,0.5002,16.0,44.0,50.0,41.0
1790200667.5718,0.7503,336.0,66.0,53.0,42.0
1790200667.8219,1.0004,275.0,65.0,55.0,43.0
1790200668.072,1.2505,280.0,65.0,57.0,43.0
1790200668.322,1.5006,280.0,66.0,58.0,43.0
1790200668.5721,1.7507,283.0,66.0,58.0,43.0
1790200668.8222,2.0008,283.0,67.0,59.0,44.0
1790200669.0723,2.2509,285.0,67.0,60.0,44.0
1790200669.3224,2.501,288.0,68.0,60.0,44.0
1790200669.5725,2.751,295.0,69.0,60.0,44.0
1790200669.8226,3.0011,298.0,70.0,60.0,45.0
1790200670.0726,3.2512,300.0,71.0,60.0,45.0
1790200670.3227,3.5013,298.0,72.0,60.0,45.0
1790200670.5728,3.7514,300.0,72.0,60.0,45.0
1790200670.8229,4.0015,299.0,72.0,61.0,45.0
1790200671.073,4.2516,300.0,73.0,62.0,46.0
1790200671.3231,4.5017,299.0,73.0,62.0,46.0
1790200671.5732,4.7518,300.0,73.0,62.0,46.0
1790200671.8233,5.0018,299.0,73.0,62.0,46.0
1790200672.0734,5.2519,300.0,74.0,62.0,46.0
1790200672.3235,5.502,299.0,74.0,62.0,47.0
1790200672.5736,5.7521,300.0,74.0,63.0,47.0
1790200672.8237,6.0022,299.0,74.0,63.0,47.0
1790200673.0737,6.2523,300.0,74.0,64.0,47.0
1790200673.3238,6.5024,299.0,74.0,64.0,47.0
1790200673.5739,6.7525,299.0,75.0,64.0,47.0
1790200673.824,7.0026,300.0,75.0,64.0,48.0
1790200674.0741,7.2527,299.0,75.0,64.0,48.0
1790200674.3242,7.5028,300.0,75.0,64.0,48.0
1790200674.5743,7.7529,299.0,75.0,64.0,48.0
1790200674.8244,8.003,300.0,75.0,65.0,48.0
1790200675.0745,8.2531,299.0,76.0,65.0,48.0
