"Kind","Agent_Id","Queue_Id","Stream_Id","Thread_Id","Dispatch_Id","Kernel_Id","Kernel_Name","Correlation_Id","Start_Timestamp","End_Timestamp","LDS_Block_Size","Scratch_Size","VGPR_Count","Accum_VGPR_Count","SGPR_Count","Workgroup_Size_X","Workgroup_Size_Y","Workgroup_Size_Z","Grid_Size_X","Grid_Size_Y","Grid_Size_Z"
"KERNEL_DISPATCH","Agent 2",1,0,1,18,385,"_dynamic_mxfp4_quant_kernel_BLOCK_SIZE_M_1_BLOCK_SIZE_N_32_NUM_ITER_1_NUM_STAGES_1_MXFP4_QUANT_BLOCK_SIZE_32_EVEN_M_N_1_SCALING_MODE_0_num_warps_NONE_num_stages_NONE",328,67943982636254,67943982638534,0,0,44,4,48,64,1,1,64,160,1
"KERNEL_DISPATCH","Agent 2",1,0,1,19,386,"_gemm_afp4wfp4_kernel_BLOCK_SIZE_M_8_BLOCK_SIZE_N_64_BLOCK_SIZE_K_512_GROUP_SIZE_M_1_num_warps_4_num_stages_2_waves_per_eu_2_matrix_instr_nonkdim_32_cache_modifier_CG_NUM_KSPLIT_2",345,67943982714499,67943982736180,0,0,72,128,112,256,1,1,139264,1,1
"KERNEL_DISPATCH","Agent 2",1,0,1,20,387,"_gemm_afp4wfp4_reduce_kernel_BLOCK_SIZE_M_16_BLOCK_SIZE_N_64_ACTUAL_KSPLIT_2_MAX_KSPLIT_2_ADD_BIAS_0_activation_NONE_use_activation_0",349,67943982749261,67943982751381,0,0,16,0,32,256,1,1,256,272,1
"KERNEL_DISPATCH","Agent 2",1,0,1,21,385,"_dynamic_mxfp4_quant_kernel_BLOCK_SIZE_M_1_BLOCK_SIZE_N_32_NUM_ITER_1_NUM_STAGES_1_MXFP4_QUANT_BLOCK_SIZE_32_EVEN_M_N_1_SCALING_MODE_0_num_warps_NONE_num_stages_NONE",364,67943982825185,67943982827465,0,0,44,4,48,64,1,1,64,160,1
"KERNEL_DISPATCH","Agent 2",1,0,1,22,386,"_gemm_afp4wfp4_kernel_BLOCK_SIZE_M_8_BLOCK_SIZE_N_64_BLOCK_SIZE_K_512_GROUP_SIZE_M_1_num_warps_4_num_stages_2_waves_per_eu_2_matrix_instr_nonkdim_32_cache_modifier_CG_NUM_KSPLIT_2",381,67943982906749,67943982929911,0,0,72,128,112,256,1,1,139264,1,1
"KERNEL_DISPATCH","Agent 2",1,0,1,23,387,"_gemm_afp4wfp4_reduce_kernel_BLOCK_SIZE_M_16_BLOCK_SIZE_N_64_ACTUAL_KSPLIT_2_MAX_KSPLIT_2_ADD_BIAS_0_activation_NONE_use_activation_0",385,67943982929911,67943982932911,0,0,16,0,32,256,1,1,256,272,1
"KERNEL_DISPATCH","Agent 2",1,0,1,24,385,"_dynamic_mxfp4_quant_kernel_BLOCK_SIZE_M_1_BLOCK_SIZE_N_32_NUM_ITER_1_NUM_STAGES_1_MXFP4_QUANT_BLOCK_SIZE_32_EVEN_M_N_1_SCALING_MODE_0_num_warps_NONE_num_stages_NONE",400,67943982982354,67943982984634,0,0,44,4,48,64,1,1,64,160,1
"KERNEL_DISPATCH","Agent 2",1,0,1,25,386,"_gemm_afp4wfp4_kernel_BLOCK_SIZE_M_8_BLOCK_SIZE_N_64_BLOCK_SIZE_K_512_GROUP_SIZE_M_1_num_warps_4_num_stages_2_waves_per_eu_2_matrix_instr_nonkdim_32_cache_modifier_CG_NUM_KSPLIT_2",417,67943983059118,67943983080919,0,0,72,128,112,256,1,1,139264,1,1
"KERNEL_DISPATCH","Agent 2",1,0,1,26,387,"_gemm_afp4wfp4_reduce_kernel_BLOCK_SIZE_M_16_BLOCK_SIZE_N_64_ACTUAL_KSPLIT_2_MAX_KSPLIT_2_ADD_BIAS_0_activation_NONE_use_activation_0",421,67943983083999,67943983085279,0,0,16,0,32,256,1,1,256,272,1
"KERNEL_DISPATCH","Agent 2",1,0,1,27,385,"_dynamic_mxfp4_quant_kernel_BLOCK_SIZE_M_1_BLOCK_SIZE_N_32_NUM_ITER_1_NUM_STAGES_1_MXFP4_QUANT_BLOCK_SIZE_32_EVEN_M_N_1_SCALING_MODE_0_num_warps_NONE_num_stages_NONE",436,67943983142242,67943983144523,0,0,44,4,48,64,1,1,64,160,1
"KERNEL_DISPATCH","Agent 2",1,0,1,28,386,"_gemm_afp4wfp4_kernel_BLOCK_SIZE_M_8_BLOCK_SIZE_N_64_BLOCK_SIZE_K_512_GROUP_SIZE_M_1_num_warps_4_num_stages_2_waves_per_eu_2_matrix_instr_nonkdim_32_cache_modifier_CG_NUM_KSPLIT_2",453,67943983299451,67943983323132,0,0,72,128,112,256,1,1,139264,1,1
"KERNEL_DISPATCH","Agent 2",1,0,1,29,387,"_gemm_afp4wfp4_reduce_kernel_BLOCK_SIZE_M_16_BLOCK_SIZE_N_64_ACTUAL_KSPLIT_2_MAX_KSPLIT_2_ADD_BIAS_0_activation_NONE_use_activation_0",457,67943983323132,67943983325933,0,0,16,0,32,256,1,1,256,272,1
"KERNEL_DISPATCH","Agent 2",1,0,1,30,385,"_dynamic_mxfp4_quant_kernel_BLOCK_SIZE_M_1_BLOCK_SIZE_N_32_NUM_ITER_1_NUM_STAGES_1_MXFP4_QUANT_BLOCK_SIZE_32_EVEN_M_N_1_SCALING_MODE_0_num_warps_NONE_num_stages_NONE",472,67943983374335,67943983376655,0,0,44,4,48,64,1,1,64,160,1
"KERNEL_DISPATCH","Agent 2",1,0,1,31,386,"_gemm_afp4wfp4_kernel_BLOCK_SIZE_M_8_BLOCK_SIZE_N_64_BLOCK_SIZE_K_512_GROUP_SIZE_M_1_num_warps_4_num_stages_2_waves_per_eu_2_matrix_instr_nonkdim_32_cache_modifier_CG_NUM_KSPLIT_2",489,67943983446659,67943983468501,0,0,72,128,112,256,1,1,139264,1,1
"KERNEL_DISPATCH","Agent 2",1,0,1,32,387,"_gemm_afp4wfp4_reduce_kernel_BLOCK_SIZE_M_16_BLOCK_SIZE_N_64_ACTUAL_KSPLIT_2_MAX_KSPLIT_2_ADD_BIAS_0_activation_NONE_use_activation_0",493,67943983471541,67943983473021,0,0,16,0,32,256,1,1,256,272,1
"KERNEL_DISPATCH","Agent 2",1,0,1,33,385,"_dynamic_mxfp4_quant_kernel_BLOCK_SIZE_M_1_BLOCK_SIZE_N_32_NUM_ITER_1_NUM_STAGES_1_MXFP4_QUANT_BLOCK_SIZE_32_EVEN_M_N_1_SCALING_MODE_0_num_warps_NONE_num_stages_NONE",508,67943983521503,67943983523704,0,0,44,4,48,64,1,1,64,160,1
"KERNEL_DISPATCH","Agent 2",1,0,1,34,386,"_gemm_afp4wfp4_kernel_BLOCK_SIZE_M_8_BLOCK_SIZE_N_64_BLOCK_SIZE_K_512_GROUP_SIZE_M_1_num_warps_4_num_stages_2_waves_per_eu_2_matrix_instr_nonkdim_32_cache_modifier_CG_NUM_KSPLIT_2",525,67943983596268,67943983619589,0,0,72,128,112,256,1,1,139264,1,1
"KERNEL_DISPATCH","Agent 2",1,0,1,35,387,"_gemm_afp4wfp4_reduce_kernel_BLOCK_SIZE_M_16_BLOCK_SIZE_N_64_ACTUAL_KSPLIT_2_MAX_KSPLIT_2_ADD_BIAS_0_activation_NONE_use_activation_0",529,67943983619589,67943983622349,0,0,16,0,32,256,1,1,256,272,1
