"Name","Calls","TotalDurationNs","AverageNs","Percentage","MinNs","MaxNs","StdDev"
"hipDriverGetVersion",1,131377514,131377514.000000,99.73,131377514,131377514,0.00000000e+00
"hipGetProcAddress",11,335750,30522.727273,0.2549,350,330532,99502.043783
"hipGetDevicePropertiesR0600",3,7619,2539.666667,5.784e-03,1301,4506,1721.955381
"hipGetDeviceCount",3,5938,1979.333333,4.508e-03,90,5708,3229.216830
"hipDevicePrimaryCtxGetState",3,1962,654.000000,1.489e-03,100,1752,950.909039
"hipGetDevice",4,1602,400.500000,1.216e-03,90,1131,489.585199
