"Name","Calls","TotalDurationNs","AverageNs","Percentage","MinNs","MaxNs","StdDev"
"hipDriverGetVersion",1,238896398,238896398.000000,99.94,238896398,238896398,0.00000000e+00
"hipGetProcAddress",11,128965,11724.090909,0.0540,450,87579,27179.448359
"hipGetDevicePropertiesR0600",3,8510,2836.666667,3.560e-03,1141,5727,2515.605361
"hipGetDeviceCount",3,5147,1715.666667,2.153e-03,100,4947,2798.416755
"hipDevicePrimaryCtxGetState",3,2624,874.666667,1.098e-03,100,2413,1332.247099
"hipGetDevice",4,1772,443.000000,7.413e-04,90,1372,620.104292
