timestamp,elapsed_s,power_w,hotspot_temp_c,mem_temp_c,edge_temp_c
1790192531.4088,0.0001,14.0,50.0,54.0,47.0
1790192531.6589,0.2502,14.0,50.0,52.0,47.0
1790192531.909,0.5002,14.0,50.0,54.0,47.0
1790192532.159,0.7503,14.0,50.0,54.0,47.0
1790192532.4092,1.0004,14.0,50.0,53.0,47.0
1790192532.6592,1.2505,14.0,50.0,53.0,47.0
1790192532.9094,1.5006,14.0,50.0,52.0,47.0
1790192533.1594,1.7507,14.0,50.0,52.0,47.0
1790192533.4095,2.0008,14.0,50.0,52.0,47.0
1790192533.6596,2.2509,15.0,49.0,52.0,47.0
1790192533.9096,2.5009,14.0,50.0,52.0,47.0
1790192534.1597,2.751,14.0,49.0,52.0,47.0
1790192534.4098,3.0011,14.0,49.0,52.0,46.0
1790192534.6599,3.2512,15.0,49.0,52.0,46.0
1790192534.91,3.5013,15.0,49.0,52.0,46.0
1790192535.1601,3.7514,15.0,49.0,52.0,46.0
1790192535.4102,4.0015,14.0,49.0,52.0,46.0
1790192535.6603,4.2516,14.0,49.0,52.0,46.0
1790192535.9104,4.5017,14.0,49.0,52.0,46.0
1790192536.1604,4.7517,14.0,49.0,52.0,46.0
1790192536.4105,5.0018,14.0,49.0,52.0,46.0
1790192536.6606,5.2519,14.0,49.0,52.0,46.0
1790192536.9106,5.5019,14.0,49.0,52.0,46.0
1790192537.1607,5.752,14.0,49.0,52.0,46.0
1790192537.4108,6.0021,14.0,48.0,52.0,46.0
1790192537.6609,6.2522,14.0,48.0,52.0,46.0
1790192537.911,6.5023,14.0,48.0,52.0,46.0
1790192538.1611,6.7524,14.0,48.0,52.0,46.0
1790192538.4112,7.0025,14.0,48.0,52.0,45.0
1790192538.6613,7.2526,14.0,48.0,50.0,45.0
1790192538.9114,7.5027,14.0,48.0,50.0,45.0
1790192539.1615,7.7528,14.0,48.0,50.0,45.0
1790192539.4115,8.0028,14.0,48.0,50.0,45.0
1790192539.6616,8.2529,14.0,48.0,50.0,45.0
1790192539.9117,8.503,14.0,48.0,50.0,45.0
1790192540.1618,8.7531,14.0,48.0,50.0,45.0
1790192540.4118,9.0031,14.0,48.0,50.0,45.0
1790192540.6625,9.2538,14.0,48.0,50.0,45.0
1790192540.9126,9.5038,14.0,48.0,50.0,45.0
1790192541.1626,9.7539,14.0,48.0,50.0,45.0
1790192541.4127,10.004,14.0,47.0,50.0,45.0
1790192541.6628,10.2541,14.0,47.0,50.0,45.0
1790192541.9129,10.5042,14.0,47.0,50.0,45.0
1790192542.163,10.7543,14.0,47.0,50.0,45.0
1790192542.4131,11.0043,14.0,47.0,50.0,45.0
1790192542.6631,11.2544,14.0,47.0,50.0,45.0
1790192542.9132,11.5045,14.0,47.0,50.0,44.0
1790192543.1633,11.7546,14.0,47.0,50.0,44.0
1790192543.4134,12.0047,14.0,47.0,50.0,45.0
1790192543.6635,12.2548,14.0,47.0,50.0,44.0
1790192543.9136,12.5049,14.0,47.0,50.0,44.0
1790192544.1637,12.755,14.0,47.0,50.0,44.0
1790192544.4138,13.0051,14.0,47.0,50.0,44.0
1790192544.6638,13.2551,14.0,47.0,50.0,44.0
1790192544.9139,13.5052,14.0,47.0,50.0,44.0
1790192545.164,13.7553,14.0,47.0,50.0,44.0
1790192545.4141,14.0054,14.0,47.0,50.0,44.0
1790192545.6642,14.2555,14.0,47.0,50.0,44.0
1790192545.9143,14.5056,14.0,47.0,50.0,44.0
1790192546.1644,14.7557,14.0,47.0,50.0,44.0
1790192546.4145,15.0057,14.0,47.0,50.0,44.0
1790192546.6645,15.2558,14.0,47.0,50.0,44.0
1790192546.9146,15.5059,14.0,47.0,48.0,44.0
1790192547.1647,15.756,14.0,46.0,48.0,44.0
1790192547.4148,16.0061,14.0,46.0,48.0,44.0
1790192547.6648,16.2561,14.0,46.0,49.0,44.0
1790192547.915,16.5062,14.0,46.0,49.0,44.0
1790192548.165,16.7563,14.0,46.0,48.0,44.0
1790192548.4151,17.0064,20.0,46.0,48.0,44.0
1790192548.6652,17.2565,14.0,46.0,48.0,44.0
1790192548.9152,17.5065,14.0,46.0,48.0,44.0
1790192549.1653,17.7566,14.0,46.0,48.0,44.0
1790192549.4154,18.0067,14.0,46.0,48.0,44.0
1790192549.6655,18.2568,14.0,46.0,48.0,43.0
1790192549.9156,18.5069,14.0,46.0,48.0,43.0
1790192550.1657,18.757,14.0,46.0,48.0,43.0
1790192550.4158,19.0071,14.0,46.0,48.0,43.0
1790192550.6659,19.2572,14.0,46.0,48.0,43.0
1790192550.916,19.5073,14.0,46.0,48.0,43.0
1790192551.1661,19.7574,334.0,73.0,52.0,44.0
1790192551.4162,20.0075,297.0,71.0,54.0,45.0
1790192551.6663,20.2576,313.0,73.0,54.0,45.0
1790192551.9163,20.5076,309.0,74.0,54.0,45.0
1790192552.1664,20.7577,299.0,75.0,54.0,46.0
1790192552.4165,21.0078,304.0,76.0,56.0,46.0
1790192552.6666,21.2579,298.0,77.0,54.0,46.0
1790192552.9166,21.5079,299.0,77.0,56.0,47.0
1790192553.1667,21.758,288.0,77.0,56.0,47.0
1790192553.4168,22.0081,290.0,78.0,56.0,47.0
1790192553.6669,22.2581,282.0,74.0,57.0,47.0
1790192553.9169,22.5082,282.0,73.0,58.0,48.0
1790192554.167,22.7583,273.0,73.0,60.0,48.0
1790192554.4171,23.0084,278.0,73.0,60.0,48.0
1790192554.6672,23.2585,286.0,73.0,60.0,48.0
1790192554.9173,23.5086,282.0,74.0,60.0,48.0
1790192555.1674,23.7587,284.0,74.0,60.0,48.0
1790192555.4175,24.0088,296.0,75.0,62.0,49.0
1790192555.6676,24.2589,298.0,76.0,62.0,49.0
1790192555.9177,24.509,297.0,76.0,62.0,49.0
1790192556.1677,24.759,304.0,77.0,62.0,49.0
1790192556.4178,25.0091,300.0,77.0,62.0,49.0
1790192556.6679,25.2592,294.0,77.0,62.0,50.0
1790192556.918,25.5093,303.0,77.0,62.0,50.0
